cyc,time,y2 piezo,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
22,1.69,75,22,39597.5,0,5,101,125,0,5,135,-4.12988,-7.7036,-2.37071,-5.51514,-5.28012,-161.438,-4.93985,43411.3,-33.7544,16439.4,-3.50612,-7.07984,-1.12318,-4.89138,-4.65636,0.947162,4.49461,44118.9,-24.3199,-0.182047,5.82109e-05,1.0003,-24.6893,239.128,327.493,0.258641,63646.1,1.12557e-06,0.248624,105.821,87.2012,20.1821,23.4129,0.862009,370.964,507.951,0.385658 
23,10.09,75,23,42911.7,0,5,101,125,0,5,135,-3.47585,-0.920776,-3.13817,-6.4938,0.490354,-135.341,-13.8906,46555.8,-26.3397,16439.4,-2.95292,-0.397845,-2.0923,-5.97086,1.01329,0.79883,-5.98131,47149,-18.4304,0.212875,-7.24965e-05,1.00021,-28.0978,314.011,366.93,0.291348,68561.9,1.15384e-06,0.294184,109.122,87.3632,22.2866,23.8668,0.933792,452.363,527.839,0.423497 
24,0.85,75,24,41228.5,0,5,101,125,0,5,135,-4.62489,-7.10046,-8.37485,-8.27535,-2.60882,-169.739,-13.5143,45635.1,-35.834,16439.4,-3.96905,-6.44463,-7.06318,-7.61952,-1.95298,0.738878,-3.59475,46379,-25.9145,0.103619,-4.42923e-05,1.0003,-34.6921,295.363,273.22,0.232619,67246.8,1.14641e-06,0.247796,106.789,89.5344,23.2639,22.1714,1.04927,492.904,455.512,0.413324 
25,6.73,95,25,43195.9,0,5,101,125,0,5,135,-4.51828,-8.72446,-3.22357,-6.81833,-4.95616,-100.126,-3.12214,46903.1,-39.4495,16439.4,-4.13141,-8.33759,-2.44984,-6.43147,-4.5693,0.905483,2.72922,47341.9,-33.5982,-0.0726078,3.29413e-05,1.00039,-37.5886,306.652,359.546,0.269923,68715,1.15469e-06,0.287563,107.001,87.0772,22.5876,24.1881,0.933831,464.663,542.145,0.43467 
26,0.01,95,26,41034.2,0,5,101,125,0,5,135,-2.60793,-6.65397,-3.30158,-2.40644,-6.66136,-118.549,-5.53172,44590.4,-22.3204,16439.4,-2.14988,-6.19593,-2.38548,-1.94839,-6.20331,0.87367,1.39626,45110,-15.3925,-0.0817736,1.76867e-05,1.00019,-17.0747,364.352,427.526,0.257176,65516.8,1.13649e-06,0.347276,108.283,85.8188,25.0614,26.8774,0.932432,572.017,669.405,0.544479 
27,4.63,95,27,39002,0,5,101,125,0,5,135,-0.885614,-4.4476,-3.64312,0.318032,-3.30172,-135.025,-6.32361,43126.2,-39.0486,16439.4,-0.363905,-3.9259,-2.5997,0.83974,-2.78002,0.705576,1.56723,43718,-31.1578,-0.0437503,2.04845e-05,1.00039,-35.8221,210.741,290.474,0.208402,62450.9,1.11848e-06,0.221207,109.486,85.6544,20.4741,23.8562,0.858227,381.774,527.372,0.401174 
28,5.89,95,28,38985.6,0,5,101,125,0,5,135,-2.56672,-4.19412,-3.384,-3.64615,-1.04012,-95.9787,-7.12166,42546.9,-29.2847,16439.4,-2.19588,-3.82328,-2.64232,-3.27531,-0.669281,0.790393,-1.51267,42967.6,-23.6757,0.0505512,-2.01175e-05,1.0003,-29.9235,326.829,324.676,0.243978,62624,1.11952e-06,0.290975,108.258,88.148,24.0856,23.7956,1.01219,528.34,524.693,0.470305 
29,2.53,95,29,39763.8,0,5,101,125,0,5,135,-5.24328,-3.08471,-6.14197,-5.75785,-3.10457,-92.902,-14.2232,43760.2,-31.2995,16439.4,-4.88433,-2.72576,-5.42406,-5.3989,-2.74562,0.74389,-8.794,44167.4,-25.8703,0.220742,-0.000113788,1.00032,-39.8384,273.284,327.002,0.212973,64191.7,1.12878e-06,0.264833,107.388,86.6164,23.1807,25.0857,0.92406,489.384,583.128,0.473257 
30,7.15,95,30,36775.6,0,5,101,125,0,5,135,-4.07769,-1.53682,-4.89223,-4.24631,-2.34748,-82.4104,-12.9691,40674.8,-34.405,16439.4,-3.75927,-1.2184,-4.2554,-3.9279,-2.02906,0.719856,-8.15304,41036,-29.5889,0.18674,-0.000113544,1.00039,-43.6598,247.586,326.146,0.248627,59267,1.09914e-06,0.258532,106.639,86.3946,20.8257,23.6722,0.879757,395.002,519.264,0.41204 
31,3.79,95,31,42530.7,0,5,101,125,0,5,135,-0.10031,-3.17577,-9.63273,-5.52894,-1.44668,-149.587,-7.71159,46404.7,-35.3437,16439.4,0.477664,-2.59779,-8.47678,-4.95096,-0.868708,0.483645,1.03028,47060.3,-26.6018,-0.0333512,1.251e-05,1.00031,-30.8919,286.328,341.936,0.235631,67963.1,1.15047e-06,0.271976,109.215,88.7898,22.8436,24.6963,0.924981,475.256,565.167,0.450483 
32,3.37,95,32,35916.9,0,5,101,125,0,5,135,-3.71764,-2.71103,-6.81307,-1.51556,-1.12969,-105.218,-9.73921,39557.6,-31.8931,16439.4,-3.3111,-2.30449,-5.99999,-1.10902,-0.723152,0.553829,-3.5903,40018.8,-25.7442,0.104117,-5.12685e-05,1.00035,-34.4833,274.551,271.757,0.200849,58009,1.09131e-06,0.250296,108.267,90.3336,23.7321,23.4503,1.01202,512.945,509.577,0.468481 
33,8.41,95,33,41691.9,0,5,101,125,0,5,135,-1.19142,-7.31488,-10.2032,-7.16172,0.451248,-144.647,-21.9583,45550.3,-34.4111,16439.4,-0.632533,-6.756,-9.08547,-6.60284,1.01013,0.588272,-13.5052,46184.3,-25.9579,0.302435,-0.000167124,1.00031,-44.6547,262.346,277.648,0.19232,66711.8,1.14336e-06,0.236048,107.666,86.5198,23.646,24.1078,0.980845,509.228,538.551,0.458021 
34,8.83,95,34,41886.4,0,5,101,125,0,5,135,-2.62823,-3.69034,-8.26569,-4.48695,-3.56596,-122.305,-0.774337,45438.5,-40.8338,16439.4,-2.15566,-3.21778,-7.32056,-4.01439,-3.0934,0.630308,6.37318,45974.5,-33.6863,-0.187169,7.92076e-05,1.0004,-34.0504,301.424,307.212,0.216796,66405.4,1.14161e-06,0.266557,108.289,87.0887,24.1626,24.2121,0.997957,531.725,543.223,0.470776 
35,2.11,95,35,36717.9,0,5,101,125,0,5,135,-5.47294,-5.63286,-10.793,-2.0678,-1.75893,-81.7753,-11.4804,40842,-31.237,16439.4,-5.15698,-5.3169,-10.1611,-1.75184,-1.44297,0.573597,-6.70146,41200.4,-26.4581,0.174285,-9.29545e-05,1.00035,-38.4512,208.248,254.685,0.191773,59243.7,1.099e-06,0.209553,106.451,84.7225,21.0059,23.0915,0.909683,401.866,494.101,0.405463 
36,5.05,95,36,37611,0,5,101,125,0,5,135,-6.91023,-3.19837,-9.66964,-5.97841,-4.09601,-104.306,-11.966,41437.5,-28.752,16439.4,-6.50721,-2.79536,-8.8636,-5.57539,-3.69299,0.676918,-5.8703,41894.6,-22.6563,0.177576,-8.00754e-05,1.00029,-33.0579,227.501,286.922,0.198715,60674.7,1.10778e-06,0.230633,109.256,86.4667,21.6984,24.1354,0.899029,428.799,539.785,0.434295 
37,7.57,95,37,37921.1,0,5,101,125,0,5,135,-3.97859,-4.66017,-10.0791,-8.39558,-5.73978,-173.136,-11.9689,41743.5,-39.6059,16439.4,-3.30962,-3.99121,-8.74114,-7.72662,-5.07081,0.696903,-1.85083,42502.3,-29.4879,0.049705,-2.48844e-05,1.00038,-37.2363,222.147,290.115,0.210483,61166.2,1.11076e-06,0.228552,106.519,86.3139,20.9661,23.7552,0.88259,400.344,522.913,0.411918 
