cyc,time,y2 piezo,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
35,4.56,35,35,47315.7,0,5,101,125,0,5,135,-4.07292,-3.48767,-8.3804,-2.06431,-2.60418,-144.941,-1.25071,51848.7,-39.7247,16439.4,-3.5129,-2.92764,-7.26035,-1.50428,-2.04416,0.579094,7.21967,52484,-31.2543,-0.238387,7.85992e-05,1.00032,-30.2855,346.493,387.594,0.280921,72407.9,1.17502e-06,0.311882,108.464,85.6839,23.6896,24.8529,0.953192,511.108,572.356,0.460303 
36,1.05,35,36,48981.9,0,5,101,125,0,5,135,-7.85057,-5.85825,-13.6253,-1.45902,-1.0073,-218.828,-9.69205,54091.2,-39.9476,16439.4,-7.00506,-5.01275,-11.9343,-0.613518,-0.161798,0.517367,3.09624,55050.3,-27.1593,-0.104975,3.21382e-05,1.00027,-29.4949,314.461,366.193,0.265863,75070.1,1.18925e-06,0.285342,106.51,88.1275,22.9774,24.5242,0.936927,480.838,557.316,0.435289 
37,0.53,35,37,46565.6,0,5,101,125,0,5,135,-1.1817,-2.45827,-8.93793,-2.82229,-5.87539,-155.735,-3.46491,51381.6,-39.6309,16439.4,-0.579973,-1.85655,-7.73447,-2.22057,-5.27366,0.562164,5.63622,52064.2,-30.5298,-0.181816,6.18563e-05,1.00032,-30.9995,358.74,328.538,0.27224,72285.3,1.17436e-06,0.292336,107.256,86.2503,24.3415,23.1137,1.05312,539.628,495.055,0.440123 
38,2.74,35,38,49480.5,0,5,101,125,0,5,135,-1.88966,-3.15955,-5.22704,-3.98318,-0.521656,-168.035,-7.46441,53953.2,-35.8393,16439.4,-1.2404,-2.51029,-3.92852,-3.33392,0.1276,0.639106,2.35558,54689.7,-26.0193,-0.0815996,2.46118e-05,1.00026,-28.8676,255.333,395.821,0.25522,75505,1.19154e-06,0.266805,105.439,82.8652,20.9765,25.8594,0.811172,400.74,619.656,0.418213 
39,0.66,55,39,49256.1,0,5,101,125,0,5,135,-4.00179,-7.23603,-14.8314,-8.31404,-5.48335,-335.528,-20.6276,54195.5,-41.5024,16439.4,-2.70537,-5.93962,-12.2386,-7.01763,-4.18694,0.618594,-1.01932,55666.1,-21.8941,0.0373482,-1.04637e-05,1.00021,-27.2923,394.993,326.727,0.292508,75715,1.19264e-06,0.301215,107.173,86.6039,24.9818,22.4988,1.11036,568.391,469.062,0.432941 
40,0.01,55,40,51768.9,0,5,101,125,0,5,135,-4.37054,-5.73187,-10.7917,-3.70103,-3.84346,-91.8358,-3.69163,56177.5,-10.8652,16439.4,-4.0157,-5.37703,-10.082,-3.34619,-3.48862,0.616792,1.67525,56580,-5.49832,-0.34031,1.69189e-05,1.00005,-4.92273,339.374,407.919,0.234484,79583.7,1.21262e-06,0.306833,108.376,85.7317,24.9826,27.1295,0.920866,568.427,682.019,0.513465 
41,4.04,55,41,52797.8,0,5,101,125,0,5,135,-2.02863,-7.27279,-9.89092,-4.44512,-3.96695,-239.615,-8.49434,57084,-21.6697,16439.4,-1.1028,-6.34697,-8.03927,-3.5193,-3.04112,0.635398,5.50876,58134.2,-7.66658,-1.49243,5.41453e-05,1.00007,-3.69114,329.348,375.972,0.257481,79820.8,1.21382e-06,0.289901,108.736,88.1164,23.755,25.1091,0.946071,513.935,584.218,0.451426 
42,3.52,55,42,50874.3,0,5,101,125,0,5,135,-2.33811,-2.78628,-4.50814,-3.61345,-4.41485,-209.131,-7.77356,55665.4,-38.7044,16439.4,-1.53007,-1.97824,-2.89207,-2.80541,-3.60681,0.774279,4.44803,56582,-26.4828,-0.162744,4.49192e-05,1.00025,-27.3314,305.63,285.971,0.21537,77299.4,1.20091e-06,0.246178,108.323,87.4536,24.388,23.41,1.04178,541.692,507.828,0.436743 
43,4.82,55,43,51393.1,0,5,101,125,0,5,135,-2.52204,-0.583773,-6.91436,-6.83212,-2.75162,-147.158,-29.8435,55438.8,-26.3337,16439.4,-1.95345,-0.0151854,-5.77719,-6.26353,-2.18304,0.643216,-21.2436,56083.8,-17.7338,0.499566,-0.000216494,1.00017,-42.5241,313.34,409.271,0.319186,77373.3,1.20129e-06,0.298103,109.421,85.4239,21.6845,24.5467,0.883395,428.249,558.342,0.407054 
44,2.35,55,44,50904.6,0,5,101,125,0,5,135,-5.04289,-6.31243,-11.4793,-5.39266,-1.08516,-118.606,11.1753,55493,-35.4721,16439.4,-4.58462,-5.85416,-10.5627,-4.93439,-0.626893,0.602348,18.1066,56012.8,-28.5408,-1.12169,0.000184685,1.00028,-16.1423,242.395,321.626,0.221081,76411.5,1.19629e-06,0.2334,105.855,84.4834,21.5086,24.5591,0.87579,421.331,558.904,0.405643 
45,1.44,55,45,53159.7,0,5,101,125,0,5,135,-0.94366,0.401111,-9.47809,-3.41967,-0.656871,-236.006,-14.9775,57632.3,-26.6414,16439.4,-0.0317817,1.31299,-7.65433,-2.50779,0.255008,0.112635,-1.18537,58666.7,-12.8492,0.0713887,-1.15459e-05,1.00012,-16.6044,240.379,379.763,0.213597,80030,1.21488e-06,0.248697,105.848,89.6612,21.7186,26.9911,0.804656,429.597,675.08,0.443276 
46,4.95,55,46,49203.9,0,5,101,125,0,5,135,-5.696,-5.68178,-4.07391,-2.74412,-2.51046,-203.373,13.0169,53608.1,-42.4759,16439.4,-4.9102,-4.89599,-2.50232,-1.95833,-1.72467,0.843522,24.902,54499.5,-30.5908,-2.10911,0.00026103,1.0003,-11.8069,265.79,362.939,0.255092,74172.3,1.18449e-06,0.262214,109.272,85.2126,21.4148,24.783,0.864091,417.663,569.142,0.411617 
47,3.13,55,47,50314.7,0,5,101,125,0,5,135,-3.1473,-3.47903,-8.49718,-7.77524,-6.16182,-157.345,-9.2143,55034.9,-33.1897,16439.4,-2.53935,-2.87108,-7.28128,-7.16729,-5.55387,0.713481,-0.0190508,55724.5,-23.9945,0.000661202,-1.95357e-07,1.00023,-28.8124,350.558,357.878,0.260704,76813.8,1.19839e-06,0.295564,107.863,86.1062,24.4218,24.4798,0.997631,543.194,555.302,0.458295 
48,2.09,55,48,50335,0,5,101,125,0,5,135,-9.9592,-2.78491,-12.8393,-6.66806,-4.67681,-165.629,1.83184,54892.3,-40.9321,16439.4,-9.31924,-2.14495,-11.5594,-6.0281,-4.03685,0.650652,11.5112,55618.3,-31.2527,-0.442875,0.000118254,1.00031,-25.992,229.577,284.166,0.221153,75657.5,1.19234e-06,0.214215,105.553,84.9592,20.9136,23.0861,0.905895,398.341,493.871,0.371992 
49,2.22,55,49,50837.9,0,5,101,125,0,5,135,-4.58885,-5.26129,-11.2087,-3.43903,-4.09205,-200.011,-23.1614,55499.7,-40.373,16439.4,-3.81604,-4.48848,-9.66307,-2.66623,-3.31925,0.596583,-11.4727,56376.4,-28.6844,0.249984,-0.000116301,1.00028,-45.894,245.529,316.762,0.232112,76364.4,1.19604e-06,0.233169,105.691,85.4199,21.2501,23.9589,0.886942,411.266,531.919,0.391054 
50,0.79,55,50,50120.1,0,5,101,125,0,5,135,-1.42181,-4.87219,-10.5928,-3.21797,-4.36944,-327.164,-17.6595,54976.3,-27.7338,16439.4,-0.157709,-3.6081,-8.06456,-1.95387,-3.10534,0.522513,1.45995,56410.3,-8.61427,-0.164461,1.47889e-05,1.00008,-8.87718,364.09,307.479,0.262294,76653.7,1.19755e-06,0.279395,107.116,88.399,24.8365,22.6062,1.09865,561.795,473.554,0.430704 
