cyc,time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
33,3,33,48874.1,0,5,101,125,0,5,135,2.77905,-4.9564,-6.10445,-4.06295,-3.57764,-139.459,-20.8544,53170.7,-38.7727,16439.4,3.31789,-4.41756,-5.02677,-3.52411,-3.0388,0.603859,-12.7044,53781.9,-30.6227,0.256906,-0.000135002,1.00031,-49.4517,338.464,335.335,0.229988,75984,1.19405e-06,0.282145,108.255,90.6017,25.0808,24.7066,1.01514,572.903,565.64,0.476745 
34,1.96,34,45205.8,0,5,101,125,0,5,135,-7.62485,-6.77122,-9.25208,0.247278,-0.242688,-184.316,-5.21136,49771.7,-36.6928,16439.4,-6.91269,-6.05906,-7.82776,0.959439,0.469473,0.595895,5.56007,50579.5,-25.9213,-0.217653,6.28116e-05,1.00028,-25.5455,231.36,268.144,0.210908,70858.5,1.16658e-06,0.213508,106.141,84.4193,21.3481,22.8297,0.935099,415.064,482.963,0.383796 
35,4.56,35,48067.4,0,5,101,125,0,5,135,-3.10563,-1.81352,-5.65033,-7.28045,-4.81698,-212.749,-12.284,52662.7,-34.404,16439.4,-2.28361,-0.991498,-4.00629,-6.45843,-3.99496,0.7741,0.149038,53595.1,-21.971,-0.00568496,1.58903e-06,1.00022,-26.2161,232.974,325.896,0.220022,74725,1.18742e-06,0.232053,108.786,86.5674,21.1079,24.761,0.852463,405.776,568.132,0.404355 
36,1.05,36,45098.1,0,5,101,125,0,5,135,-6.53662,-5.78331,-7.24449,-4.29638,-1.08241,-207.408,-2.62058,50088.3,-29.411,16439.4,-5.73524,-4.98192,-5.64172,-3.495,-0.281032,0.719804,9.50032,50997.4,-17.2901,-0.844638,0.00010644,1.00018,-11.2478,249.579,293.425,0.215381,71311.9,1.16906e-06,0.231481,106.318,90.8015,22.0097,23.6412,0.93099,441.19,517.905,0.408885 
37,0.53,37,45183.4,0,5,101,125,0,5,135,-6.58411,-7.12497,-9.72676,-2.20888,-4.63626,-247.378,-15.1067,50127.3,-40.2933,16439.4,-5.62829,-6.16914,-7.81512,-1.25306,-3.68044,0.681614,-0.649885,51211.6,-25.8365,0.0205311,-7.25159e-06,1.00027,-31.6537,311.133,259.727,0.215122,70357.4,1.16382e-06,0.244256,107.053,91.1064,24.6114,22.2845,1.10442,551.661,460.172,0.432922 
38,2.74,38,45967.5,0,5,101,125,0,5,135,-3.56731,-6.25924,-5.19306,-3.58071,-5.9918,-178.131,-23.5594,50304.8,-47.1536,16439.4,-2.87905,-5.57097,-3.81653,-2.89245,-5.30354,0.813487,-13.1494,51085.5,-36.7436,0.229717,-0.000147107,1.00039,-57.2417,349.982,368.907,0.260036,71911.5,1.17233e-06,0.306501,107.188,90.1123,24.4348,24.8347,0.983895,543.77,571.521,0.475526 
39,0.66,39,47759.5,0,5,101,125,0,5,135,-5.65329,-6.24656,-8.35541,-2.05016,-0.489983,-259.219,-17.614,52758.6,-45.0553,16439.4,-4.65172,-5.24499,-6.35227,-1.04859,0.511586,0.621573,-2.46527,53894.8,-29.9066,0.064278,-2.61391e-05,1.0003,-38.3532,348.931,279.982,0.253502,75335.4,1.19065e-06,0.262513,106.419,93.3192,24.5544,21.748,1.12904,549.106,438.282,0.412023 
40,0.01,40,45922.3,0,5,101,125,0,5,135,-0.567868,-1.62506,-9.30638,-5.55117,-2.8673,-215.791,-15.7006,50080.3,-36.2565,16439.4,0.265907,-0.791281,-7.63883,-4.71739,-2.03353,0.487847,-3.08977,51026.1,-23.6457,0.0981985,-3.46028e-05,1.00025,-31.4646,323.304,388.455,0.21876,71821.7,1.17184e-06,0.302418,107.77,88.7255,25.0125,27.148,0.921339,569.788,682.949,0.532332 
41,4.04,41,47399.2,0,5,101,125,0,5,135,-4.61724,-4.3231,-10.0832,-0.128173,-1.3516,-217.31,2.92518,51753.3,-37.275,16439.4,-3.7776,-3.48346,-8.4039,0.711469,-0.511953,0.456601,15.6248,52705.8,-24.5754,-1.12686,0.000169373,1.00025,-13.8658,280.015,352.086,0.265964,73620.7,1.18154e-06,0.265745,107.987,88.0406,21.6617,24.0405,0.901051,427.352,535.551,0.404896 
42,3.52,42,48068.4,0,5,101,125,0,5,135,-2.90429,-5.78785,-1.11404,-0.967254,-0.452544,-255.313,-4.8085,52232.2,-39.1425,16439.4,-1.91782,-4.80137,0.858916,0.0192242,0.533934,1.16184,10.112,53351.3,-24.2221,-0.533487,0.000108294,1.00025,-18.9545,300.271,305.471,0.226432,74177.7,1.18452e-06,0.255682,108.291,90.5966,23.7017,23.6766,1.00106,511.633,519.458,0.435225 
