cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
28,1.65,28,7810.08,-0.259791,16.5936,11.9991,92.7042,-0.0581898,151.61,496.794,4.22105,3.76108,7.35396,3.05631,1.94252,-231.927,235.229,45.3726,8839.41,6768.8,5.68144,5.22146,10.2747,4.5167,3.40291,0.646883,560.53,69.469,9164.71,0.0694104,0.82177,0.013771,8075.59 
29,1.55,29,6251.06,-0.232445,12.954,12.5167,92.3346,-0.184527,267.448,52.0017,-0.0222128,0.737281,-0.994445,-1.75625,-2.45977,-274.637,237.758,71.5176,7205.85,6884.81,1.7071,2.46659,2.46418,-0.0269406,-0.730459,0.580955,622.962,100.051,7591.05,0.0909749,0.780604,0.0237037,6847.62 
30,1.35,30,6694.21,-0.261663,14.2091,12.3218,92.5447,1.27599,-739.353,486.779,1.17279,-2.3573,0.81103,-2.16607,-1.62387,-232.171,84.0644,68.8294,7774.9,36410.5,2.63471,-0.895389,3.73486,-0.704153,-0.161954,0.189496,409.706,92.951,8100.54,0.0580966,0.715806,0.0207,7052.15 
31,2.4,31,4512.25,-0.473325,12.5737,12.064,93.1497,0.831037,192.88,8.1465,3.01302,-1.27457,-2.7609,2.71168,-3.33752,-395.861,1612.79,31.909,5115.35,10156,5.50565,1.21806,2.22436,5.20431,-0.844892,0.832849,2168.03,73.0374,5670.58,0.31799,0.944327,0.0231765,6817.9 
32,3,32,2772.61,-0.11731,11.2504,-11.3141,93.1102,-0.476546,262.974,0.0309797,4.01462,-0.776392,3.31618,-5.26406,-8.05988,-497.278,3044.94,29.4269,2848.14,8223.22,7.14585,2.35483,9.57864,-2.13283,-4.92866,0.202964,3742.42,81.0922,3545.62,0.562784,0.963466,0.0404277,6649.83 
33,5,33,909.539,-0.219362,7.53346,11.3689,93.961,-0.0906177,-326.706,500,2.53267,4.00765,-3.33066,0.449015,-6.15478,-614.304,3468.85,-2.8209,451.74,3751.86,6.40078,7.87575,4.40555,4.31712,-2.28667,0.7873,4330.47,61.0028,1313.36,0.800838,0.975941,0.0788181,5407.42 
34,1.45,34,7933.17,-0.264132,16.4877,12.2628,92.4316,-0.00366505,151.988,27.1539,2.61494,-1.21967,-3.09603,0.0280537,-4.00507,-219.641,235.75,53.3662,8823.01,6599.92,3.99796,0.163347,-0.32999,1.41107,-2.62205,1.12593,543.817,76.186,9131.08,0.0677122,0.803106,0.0151371,8031.3 
35,1.4,35,6824.93,-0.267983,14.5833,12.2495,92.6379,-0.42555,611.349,6.64559,1.73775,-1.42617,0.303076,-0.762366,-5.6579,-249.654,80.6619,59.0279,7992.5,14284.3,3.30975,0.145835,3.44709,0.809641,-4.08589,0.0494519,430.826,84.966,8342.67,0.0592461,0.743423,0.0184155,7271.81 
36,1.75,36,4724.53,-0.01345,10.3945,12.1729,92.7591,0.00144807,8.0559,4.48673e-12,-1.08684,-2.04875,-3.72949,-1.44823,-4.85213,-233.431,246.302,-1.60437,5879.19,4119.35,0.38302,-0.578891,-0.789785,0.0216287,-3.38228,0.818286,573.712,22.6482,6206.6,0.101307,0.93538,0.00667706,5663.13 
37,1.3,37,6839.44,-0.100101,13.7408,12.1718,92.6222,0.0465569,196.219,500,-0.0723222,3.38227,2.78485,2.50443,0.117675,-133.257,83.3866,39.83,7735.58,5741.92,0.766762,4.22136,4.46302,3.34352,0.956759,0.67545,270.293,53.6748,7922.49,0.0399443,0.742106,0.0123264,6766.73 
38,2.8,38,4233.59,-0.0734237,12.8928,12.1044,93.3992,-0.168027,137.171,96.8911,5.42455,3.35386,13.342,-0.239283,-7.46814,-486.897,3131.45,29.7506,4037.97,5830.58,8.4904,6.41972,19.4737,2.82658,-4.40229,0.406436,3814.37,80.3373,4720.89,0.496307,0.964452,0.030395,7685.5 
