cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,sumBZ1,sumBZ2,fractionBZ0,fractionBZ1,fractionBZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
28,255,28,48021,0,5,131,50,0,5,135,278.6,3022.44,35827.9,2772.13,165.963,158.434,-0.973921,-2.1551,-10.238,21322.4,135.864,2879.7,35553,2629.39,23.2271,5509.09,159.092,0.862494,0.133647,0.00385946,0.134165,-2.26528,-2.80078,-11.5294,0.152726,0.316086,0.309151,-14.8323 
29,265,29,53675.9,0,5,131,50,0,5,135,205.281,2825.66,41188.6,2967.27,139.19,30.2558,7.92069,-0.642399,-1.23073,21322.4,178.023,2798.4,41136.1,2940.01,111.932,5738.41,289.955,0.872184,0.121668,0.00614775,0.122421,7.67408,-0.765704,-1.47734,1.26556,1.21155,0.488428,6.06378 
30,140,30,48404.2,0,5,131,50,0,5,135,333.596,2944.21,36297.4,2882.23,126.445,-10.8418,4.35786,-10.6524,-0.23965,21322.4,343.363,2953.98,36316.2,2891.99,136.212,5845.97,479.575,0.851658,0.137095,0.0112466,0.138654,4.44623,-10.6082,-0.15128,1.03851,-0.31493,0.992318,4.28133 
31,130,31,50933.1,0,5,131,50,0,5,135,205.036,2968.01,38618.8,2798.43,80.7761,84.3806,-0.417469,0.654006,-2.96916,21322.4,129.016,2891.99,38472.3,2722.41,4.75617,5614.4,133.773,0.870011,0.126964,0.00302512,0.127349,-1.10524,0.310122,-3.65693,0.217084,1.96478,-0.18514,-5.09129 
32,120,32,53924.5,0,5,131,50,0,5,135,307.249,3307.29,40796.1,2959.22,213.792,36.4806,3.79021,-7.2532,0.884592,21322.4,274.383,3274.42,40732.8,2926.35,180.926,6200.78,455.309,0.859543,0.130849,0.00960794,0.132118,3.49286,-7.40187,0.587246,0.845124,-0.369208,1.04501,4.13296 
33,110,33,53248.9,0,5,131,50,0,5,135,387.175,3112.19,40235.1,3016.88,231.741,34.2098,-1.73584,-1.69846,-6.53688,21322.4,356.355,3081.37,40175.7,2986.06,200.921,6067.44,557.276,0.858448,0.129645,0.0119075,0.131207,-2.01468,-1.83788,-6.81572,0.213333,0.385144,0.331877,-9.44381 
34,100,34,52949.6,0,5,131,50,0,5,135,350.822,3189.78,39719.5,3092.37,168.216,30.0396,9.16582,-1.52329,2.80879,21322.4,323.759,3162.72,39667.4,3065.3,141.153,6228.02,464.912,0.855632,0.134339,0.0100282,0.1357,8.92098,-1.64571,2.56394,0.761457,1.47674,6.48283,11.7157 
35,100,35,52184.3,0,5,131,50,0,5,135,294.394,3127.95,39350.3,3051.79,183.235,58.8106,-7.88454,0.462805,-10.5803,21322.4,241.41,3074.96,39248.2,2998.81,130.252,6073.77,371.662,0.858943,0.132924,0.00813377,0.134014,-8.36389,0.223128,-11.0596,0.409615,1.04897,-0.038599,-20.4189 
36,100,36,54595.9,0,5,131,50,0,5,135,373.419,3233.84,41025.2,3068.86,230.84,-29.4592,-6.71982,3.5833,4.01527,21322.4,399.959,3260.38,41076.3,3095.4,257.381,6355.78,657.34,0.854165,0.132166,0.0136691,0.133998,-6.4797,3.70335,4.25538,3.51902,-5544.18,0.615848,-1.84134 
37,100,37,51458.2,0,5,131,50,0,5,135,355.439,3074.77,38602.9,2925.82,203.053,61.706,-14.1093,-0.0407904,-2.31621,21322.4,299.847,3019.18,38495.8,2870.22,147.461,5889.41,447.309,0.858658,0.131364,0.00997732,0.132688,-14.6123,-0.292267,-2.81916,0.826245,0.966181,0.160351,-17.6851 
38,100,38,49745.7,0,5,131,50,0,5,135,242.22,2965.55,37384.7,2844.75,267.895,18.0106,-5.11502,-6.35536,-3.28798,21322.4,225.993,2949.32,37353.5,2828.53,251.669,5777.85,477.663,0.856555,0.132492,0.0109533,0.133959,-5.26182,-6.42876,-3.43478,0.584275,0.318663,0.77517,-9.00572 
39,100,39,52208.7,0,5,131,50,0,5,135,403.048,3075.55,39528.5,2925.02,242.602,43.5195,-9.67825,2.79314,-2.89163,21322.4,363.841,3036.34,39453,2885.81,203.394,5922.15,567.235,0.858749,0.128904,0.0123467,0.130515,-10.033,2.61578,-3.24634,0.739268,1.8391,3.06485,-13.5715 
40,100,40,54075,0,5,131,50,0,5,135,286.732,2953.06,41065.7,2864.32,260.712,91.6949,3.0795,-5.64313,-14.3965,21322.4,204.122,2870.45,40906.6,2781.71,178.102,5652.16,382.224,0.871447,0.12041,0.00814266,0.121398,2.33211,-6.01682,-15.1439,-0.164526,-0.284497,0.422595,-14.1747 
41,100,41,49044,0,5,131,50,0,5,135,346.47,3111.99,36694.6,2881.89,267.282,-4.20308,-7.24113,-1.1507,-16.3805,21322.4,350.256,3115.78,36701.9,2885.68,271.069,6001.46,621.325,0.847136,0.138523,0.0143411,0.140538,-7.20687,-1.13357,-16.3462,0.287995,0.784155,0.113275,-25.0242 
42,100,42,50387,0,5,131,50,0,5,135,347.78,3120.83,37436.7,2873.96,192.928,124.172,1.50734,-1.89212,-5.5996,21322.4,235.911,3008.96,37221.2,2762.09,81.059,5771.05,316.97,0.859429,0.133252,0.00731876,0.134234,0.495236,-2.39818,-6.61171,-0.0737889,-0.133791,0.400538,-6.71152 
43,100,43,53077.9,0,5,131,50,0,5,135,323.255,3359.14,39711,3076.86,218.462,-12.3961,-4.35957,-1.43358,3.87026,21322.4,334.423,3370.31,39732.5,3088.03,229.63,6458.33,564.053,0.849804,0.138132,0.0120641,0.139819,-4.25853,-1.38306,3.9713,-60.6804,0.63761,-1.78972,0.0701797 
